DATAFLOW,LAST UPDATE,freq,unit,s_adj,na_item,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:NAMQ_10_GDP(1.0),31/01/25 11:00:00,Quarterly,"Current prices, million euro",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,Albania,2018-Q1,2827.2,,
ESTAT:NAMQ_10_GDP(1.0),31/01/25 11:00:00,Quarterly,"Current prices, million euro",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,Albania,2018-Q2,3391.8,,
ESTAT:NAMQ_10_GDP(1.0),31/01/25 11:00:00,Quarterly,"Current prices, million euro",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,Albania,2018-Q3,3248.0,,
ESTAT:NAMQ_10_GDP(1.0),31/01/25 11:00:00,Quarterly,"Current prices, million euro",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,Albania,2018-Q4,3381.1,,
ESTAT:NAMQ_10_GDP(1.0),31/01/25 11:00:00,Quarterly,"Current prices, million euro",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,Albania,2019-Q1,3133.7,b,
ESTAT:NAMQ_10_GDP(1.0),31/01/25 11:00:00,Quarterly,"Current prices, million euro",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,Albania,2019-Q2,3688.9,,
ESTAT:NAMQ_10_GDP(1.0),31/01/25 11:00:00,Quarterly,"Current prices, million euro",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,Albania,2019-Q3,3576.3,,
ESTAT:NAMQ_10_GDP(1.0),31/01/25 11:00:00,Quarterly,"Current prices, million euro",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,Albania,2019-Q4,3524.1,,
ESTAT:NAMQ_10_GDP(1.0),31/01/25 11:00:00,Quarterly,"Current prices, million euro",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,Albania,2020-Q1,3101.2,,
ESTAT:NAMQ_10_GDP(1.0),31/01/25 11:00:00,Quarterly,"Current prices, million euro",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,Albania,2020-Q2,3259.5,,
ESTAT:NAMQ_10_GDP(1.0),31/01/25 11:00:00,Quarterly,"Current prices, million euro",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,Albania,2020-Q3,3472.9,,
ESTAT:NAMQ_10_GDP(1.0),31/01/25 11:00:00,Quarterly,"Current prices, million euro",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,Albania,2020-Q4,3544.6,,
ESTAT:NAMQ_10_GDP(1.0),31/01/25 11:00:00,Quarterly,"Current prices, million euro",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,Albania,2021-Q1,3348.4,,
ESTAT:NAMQ_10_GDP(1.0),31/01/25 11:00:00,Quarterly,"Current prices, million euro",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,Albania,2021-Q2,4038.9,,
ESTAT:NAMQ_10_GDP(1.0),31/01/25 11:00:00,Quarterly,"Current prices, million euro",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,Albania,2021-Q3,3856.2,,
ESTAT:NAMQ_10_GDP(1.0),31/01/25 11:00:00,Quarterly,"Current prices, million euro",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,Albania,2021-Q4,4004.2,,
ESTAT:NAMQ_10_GDP(1.0),31/01/25 11:00:00,Quarterly,"Current prices, million euro",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,Albania,2022-Q1,3902.8,,
ESTAT:NAMQ_10_GDP(1.0),31/01/25 11:00:00,Quarterly,"Current prices, million euro",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,Albania,2022-Q2,4612.9,,
ESTAT:NAMQ_10_GDP(1.0),31/01/25 11:00:00,Quarterly,"Current prices, million euro",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,Albania,2022-Q3,4680.7,,
ESTAT:NAMQ_10_GDP(1.0),31/01/25 11:00:00,Quarterly,"Current prices, million euro",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,Albania,2022-Q4,4896.7,,
ESTAT:NAMQ_10_GDP(1.0),31/01/25 11:00:00,Quarterly,"Current prices, million euro",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,Albania,2023-Q1,4489.3,p,
ESTAT:NAMQ_10_GDP(1.0),31/01/25 11:00:00,Quarterly,"Current prices, million euro",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,Albania,2023-Q2,5549.8,p,
ESTAT:NAMQ_10_GDP(1.0),31/01/25 11:00:00,Quarterly,"Current prices, million euro",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,Albania,2023-Q3,5753.3,p,
ESTAT:NAMQ_10_GDP(1.0),31/01/25 11:00:00,Quarterly,"Current prices, million euro",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,Albania,2023-Q4,6084.2,p,
ESTAT:NAMQ_10_GDP(1.0),31/01/25 11:00:00,Quarterly,"Current prices, million euro",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,Albania,2024-Q1,5428.8,p,
ESTAT:NAMQ_10_GDP(1.0),31/01/25 11:00:00,Quarterly,"Current prices, million euro",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,Albania,2024-Q2,6513.1,p,
ESTAT:NAMQ_10_GDP(1.0),31/01/25 11:00:00,Quarterly,"Current prices, million euro",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,Albania,2024-Q3,6462.9,p,
ESTAT:NAMQ_10_GDP(1.0),31/01/25 11:00:00,Quarterly,"Current prices, million euro",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,Austria,1995-Q1,43186.6,,
ESTAT:NAMQ_10_GDP(1.0),31/01/25 11:00:00,Quarterly,"Current prices, million euro",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,Austria,1995-Q2,46786.8,,
ESTAT:NAMQ_10_GDP(1.0),31/01/25 11:00:00,Quarterly,"Current prices, million euro",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,Austria,1995-Q3,46335.5,,
