time,monetary_shocks
9,-0.4580353918212001
10,0.35996870885778876
11,0.23859520155650493
12,0.43523341557426853
13,-0.031744492346961195
14,0.33519751111159124
15,0.5896759129867926
16,-0.00490012416213137
17,0.02693947616858061
18,-0.5284143992340553
19,-0.5400821758851171
20,0.27276007103660094
21,-0.7127689623099487
22,0.32042774602117396
23,0.18574518104066873
24,-0.037641568413731674
25,-0.3566311329393579
26,-0.2082851828460952
27,0.11855345247946847
28,-0.35298551068869766
29,-0.050503556080251366
30,-0.10704130119827182
31,-0.19943178785939386
32,0.24322524867879425
33,-0.025890771155476555
34,-0.012332745575283077
35,0.12231370022280164
36,0.04539762512950141
37,0.13497918206674742
38,0.07242034105455186
39,0.1442396109545543
40,0.15125377365277615
41,-0.14020978975232712
42,0.12105994752365401
43,0.14194599831035326
44,0.06726339584480101
45,-0.30917701685408616
46,-0.5958575579755045
47,-0.1785765301076534
48,0.7183519381211148
49,-0.23780354434473994
50,0.3605544645123878
51,-0.08760140364600441
52,0.0212307232000791
53,0.14787081795222662
54,0.20149301195128447
55,0.06306331438476076
56,0.014145805430143293
57,-0.10204115004836703
58,-0.10447877999342542
59,-0.1281147274251752
60,0.11694559048150227
61,-0.04405719514453707
62,-0.3045367783681377
63,0.0029199679201625806
64,-0.05796601672071422
65,-0.13425033067616668
66,-0.07473104560681518
67,0.00664115494180946
68,-0.07754879710559896
69,-0.08049342887872574
70,-0.04999389667879575
71,-0.09884294740784867
72,-0.09604863850860225
73,0.06253758804033208
74,0.01792549827648339
75,-0.05009452547482514
76,0.1663878435271614
77,0.12624544111006258
78,0.30547423658015926
79,-0.14118402551781778
80,0.05693003529631141
81,0.15187265093298025
82,0.1456878910827346
83,0.08666460563870615
84,-0.017641427852362224
85,-0.14295172185236726
86,0.21135962648619033
87,0.18974444231387255
88,-0.04198356719618479
89,0.27114387459274614
90,0.10272635562983323
91,-0.12235791193360956
92,-0.07347206263335071
93,-0.2921971196233961
94,0.35336781396914096
95,-0.1435430939993065
96,-0.032030988263463775
97,-0.09072945864944522
98,-0.05624953591635877
99,-0.2628607074692266
100,-0.11718354550549652
101,-0.3785672003914649
102,-0.2051872101582638
103,0.24755870536026026
104,0.4875494034783645
105,0.07994360870308537
106,-0.368029321428585
107,0.04943749703994893
108,0.0945599554779939
109,0.07775273869882504
